Nr.;EAN;Beschreibung;Beschreibung 2;Hersteller Kurzbeschreibung;Lagerbestand;cena
15216050;7291050060622;IMP-OPONA 500 / 50 R 17;146 D, TL, FLOTMASTER 381;ALLIANCE;16;1645,595238
15216051;7291050070508;REIFEN 500 / 50 R 17;149 D, TL, FLOTMASTER 381;ALLIANCE;4;1862,202381
15216106;8903635029465;REIFEN VF 445 / 50 R 22.5;167 D, TL, AGRIFLEX 381 +;ALLIANCE;;
15216131;8903635012672;REIFEN 620 / 40 R 22.5;148 D, TL, FLOTMASTER 381;ALLIANCE;4;2943,154762
15216142;8903635012993;REIFEN 620 / 50 R 22.5;161 D, TL, FLOTMASTER 381;ALLIANCE;2;3223,166667
15216211;8903635011668;REIFEN 560 / 45 R 22.5;152 D, TL, 885;ALLIANCE;20;1869,797619
15216225;8903635011095;REIFEN 560 / 60 R 22.5;164 D, TL, 885;ALLIANCE;2;2461,250000
15216232;8903635013174;REIFEN 580 / 65 R 22.5;166 D, TL, 885;ALLIANCE;2;2617,666667
15216241;8903635013181;REIFEN 600 / 50 R 22.5;159 D, TL, 885;ALLIANCE;;
15216247;8903635019985;REIFEN 600 / 55 R 26.5;165 D, TL, 882;ALLIANCE;1;3712,452381
15216248;8903635015086;REIFEN 600 / 55 R 26.5;165 D, TL, 885;ALLIANCE;6;3352,619048
15216249;8903635016335;REIFEN 650 / 50 R 22.5;163 D, TL, 885;ALLIANCE;;
15216250;8903635014102;REIFEN 650 / 55 R 26.5;170 D, TL, 885;ALLIANCE;;
15216255;8903635015581;REIFEN 710 / 50 R 26.5;170 D, TL, 885;ALLIANCE;4;3918,345238
15216257;8903635015796;REIFEN 750 / 45 R 26.5;170 D, TL, 885;ALLIANCE;;
15216265;8903635015840;REIFEN 750 / 60 R 30.5;181 D, TL, 885;ALLIANCE;1;5677,547619
15217020;7291050059404;REIFEN 340 / 65 R 18;148 A8 / 145 E, TL, 571;ALLIANCE;2;1196,214286
15222040;8903635027577;REIFEN 6 - 14;4 PR, 66 A6, TT, FARMPRO 324;ALLIANCE;4;142,857143
15222043;8903635027584;REIFEN 7 - 14;4 PR, 72 A6, TT, FARMPRO 324;ALLIANCE;1;157,666667
15222049;;;;;34;204,916667
15222050;8903635001522;REIFEN 6.50 - 16;8 PR, 105 A6 / 101 A8, TT, AS, 324;ALLIANCE;3;194,809524
15222051;8903635001515;REIFEN 6.50 - 16;6 PR, 99 A6, TT, AS, 324;ALLIANCE;4;189,011905
15222052;8903635023050;REIFEN 8 - 16;6 PR, 91 A6, TT, FARMPRO 324;ALLIANCE;;
15222054;;;;;3;268,059524
15222077;8903635027492;REIFEN 8.3 - 20;6 PR, 96 A6, TT, FARMPRO 324;ALLIANCE;1;300,357143
15222082;8903635014386;REIFEN 9.5 - 20;6 PR, 101 A8, TT, FARMPRO 324;ALLIANCE;6;357,142857
15222154;8903635013884;REIFEN 8.3 - 24;8 PR, 105 A8, TT, FARMPRO 324;ALLIANCE;36;290,869048
15222172;8903635013891;REIFEN 9.5 - 24;8 PR, 112 A8, TT, FARMPRO 324;ALLIANCE;33;379,178571
15222182;7291050044363;REIFEN 11.2 / 10 - 24;10 PR, 125 A2 / 119 A8, TL, FORESTRY 356;ALLIANCE;2;1481,476190
15222191;8903635017660;REIFEN 11.2 - 24;8 PR, 116 A8, TT, FARMPRO 324;ALLIANCE;69;411,380952
15222192;8903635013785;REIFEN 12.4 - 24;8 PR, 121 A8, TT, FARMPRO 324;ALLIANCE;84;528,357143
15222197;8903635001096;REIFEN 12.4 / 11 - 24;12 PR, 129 A8, TT, AS, 357;ALLIANCE;;
15222198;7291050043922;REIFEN 13.6 - 24;10 PR, 136 A2 / 128 A8, TL, FORESTRY 356;ALLIANCE;2;1986,761905
15222211;8903635014720;REIFEN 13.6 - 24;8 PR, 123 A8, TT, FARMPRO 324;ALLIANCE;30;656,321429
15222212;8903635002062;REIFEN 14.9 / 13 - 24;12 PR, 145 A8, TL, 533;ALLIANCE;;
15222213;8903635014737;REIFEN 14.9 - 24;8 PR, 128 A8, TT, FARMPRO 324;ALLIANCE;21;719,047619
15222214;8903635020684;REIFEN 14.9 - 24;12 PR, 136 A8, TT, FARMPRO 324;ALLIANCE;20;895,523810
15222262;8903635001942;REIFEN 16.9 / 14 - 24;8 PR, 133 A8, TL, GOLF 329;ALLIANCE;;
15222264;8903635001195;REIFEN 16.9 / 14 - 24;12 PR, 149 A8,  TL, 533;ALLIANCE;6;1337,642857
15222268;8903635000815;REIFEN 15.5 / 80 - 24;12 PR, 157 A6 / 154 A8, TL, AS 324;ALLIANCE;6;984,559524
15222273;8903635001607;REIFEN 15.5 / 80 - 24;12 PR, 157 A6 / 154 A8, TT,  533;ALLIANCE;20;1223,107143
15222285;8903635001232;REIFEN 19.5 L - 24;12 PR, TL, INDUSTRIE, 533;ALLIANCE;2;1681,869048
15222301;8903635014003;REIFEN 18.4 - 26;12 PR, 146 A8, TT, FARMPRO 324;ALLIANCE;28;1264,988095
15222310;8903635001966;REIFEN 18.4 / 15 - 26;12 PR, 146 A8, TL, GOLF, 329;ALLIANCE;2;1797,309524
15222330;7291050044677;REIFEN 18.4 / 15 - 26;10 PR, 148 A2 / 141 A8, TL, AS, FORESTRY 356;ALLIANCE;2;3147,797619
15222332;7291050042918;REIFEN 18.4 - 26;14 PR, 159 A2 / 148 A6, TT, FORESTAR 345, LS-2;ALLIANCE;2;4181,452381
15222360;8903635000891;REIFEN 23.1 / 18 - 26;12 PR, 153 A8, TL, GOLF 329;ALLIANCE;;
15222371;8903635000983;REIFEN 23.1 / 18 - 26;14 PR, 156 A8, TT, AS, 347;ALLIANCE;6;2270,595238
15222372;8903635000990;REIFEN 23.1 / 18 - 26;16 PR, 159 A8, TT, AS, 347;ALLIANCE;;
15222373;7291050015264;REIFEN 23.1 - 26;16 PR, 172 A2 / 160 A6, TL, FORESTAR 345, LS-2;ALLIANCE;6;6379,821429
15222387;7291050062534;REIFEN 28 L - 26;26 PR, 184 A2 / 173 A6, TL, FORESTAR 345, LS 2;ALLIANCE;;
15222388;7291050058131;REIFEN 28 L - 26;20 PR, 177 A2 / 165 A6, TL, FORESTAR 345, LS 2;ALLIANCE;;
15222391;8903635000952;REIFEN 28 L - 26;16 PR, 173 A8, TL, GOLF 330;ALLIANCE;24;3263,369048
15222415;;;;;6;599,261905
15222435;8903635013778;REIFEN 12.4 - 28;8 PR, 123 A8, TT, FARMPRO 324;ALLIANCE;;
15222458;8903635014768;REIFEN 13.6 - 28;8 PR, 125 A8, TT, FARMPRO 324;ALLIANCE;29;700,392857
15222481;8903635014751;REIFEN 14.9 - 28;8 PR, 130 A8, TT, FARMPRO 324;ALLIANCE;;
15222485;8903536001829;REIFEN 14.9 / 13 - 28;12 PR, TT, 302;ALLIANCE;4;1389,607143
15222487;7291050065153;REIFEN 480 / 65 - 28;149 A2 / 142 A8, TL, FORESTRY 360;ALLIANCE;4;4326,273810
15222490;8903635000846;REIFEN 16.5 / 85 - 28;12 PR, 163 A6 / 159 A8, TT, AS, 324 HEAVY DUTY;ALLIANCE;;
15222531;8903635014775;REIFEN 16.9 - 28;8 PR, 135 A8, TT, FARMPRO 324;ALLIANCE;2;1028,619048
15222555;8903635002116;REIFEN 18.4 / 15 - 28;12 PR, TL, 533;ALLIANCE;8;841,500000
15222557;7291050045773;REIFEN 540 / 65 - 28;16 PR, 162 A2 / 155 A8, TL, FORESTRY 360;ALLIANCE;;
15222558;7291050065221;REIFEN 600 / 65 - 28;161 A2 / 154 A8, TL, FORESTRY 360;ALLIANCE;;
15222574;8903635014805;REIFEN 16.9 - 30;8 PR, 137 A8, TT, FARMPRO 324;ALLIANCE;4;1090,130952
15222577;8903635004240;REIFEN 16.9 / 14 - 30;14 PR, 148 A8, TT, AS, 324;ALLIANCE;1;1018,642857
15222578;7291050044943;REIFEN 16.9 - 30;14 PR, 151 A2 / 144 A8, TL, AS, FORESTRY 356;ALLIANCE;2;3317,571429
15222591;8903635014829;REIFEN 18.4 - 30;8 PR, 139 A8, TT, FARMPRO 324;ALLIANCE;5;1124,916667
15222593;7291050057875;REIFEN 18.4 - 30;14 PR, 149 A6, TL, FORESTAR 345, LS-2;ALLIANCE;4;4738,119048
15222595;7291050065276;REIFEN 540 / 65 - 30;157 A2 / 150 A8, TL, FORESTRY 360;ALLIANCE;;
15222600;7291050065238;REIFEN 540 / 70 - 30;159 A2 / 152 A8, TL, FORESTRY 360;ALLIANCE;4;5222,023810
15222692;8903635000747;REIFEN 12.4 / 11 - 32;8 PR, 125 A8, TT, AS, 324;ALLIANCE;1;913,464286
15222708;8903635014812;REIFEN 16.9 - 34;8 PR, 139 A8, TT, FARMPRO 324;ALLIANCE;26;1226,833333
15222710;8903635004172;REIFEN 16.9 / 14 - 34;14 PR, 149 A8, TT, AS, 324;ALLIANCE;;
15222730;8903635000785;REIFEN 18.4 / 15 - 34;14 PR, 153 A8, TT, AS 324;ALLIANCE;1;1523,321429
15222733;8903635014836;REIFEN 18.4 - 34;8 PR, 142 A8, TT, FARMPRO 324;ALLIANCE;11;1356,857143
15222745;7291050015417;REIFEN 600 / 65 - 34;14 PR, 164 A2 / 157 A8, TL, FORESTAR 346,  LS-2;ALLIANCE;;
15222757;7291050061667;REIFEN 700 / 70 - 34;20 PR, 180 A2 / 173 A8, TL, FORESTAR 346;ALLIANCE;6;9256,869048
15222784;8903635014850;REIFEN 15.5 - 38;8 PR, 133 A8, TT, FARMPRO 324;ALLIANCE;6;1126,345238
15222802;8903635014799;REIFEN 16.9 - 38;8 PR, 141 A8, TT, FARMPRO 324;ALLIANCE;8;1624,702381
15222804;8903635014843;REIFEN 18.4 - 38;8 PR, 143 A8, TT, FARMPRO 324;ALLIANCE;5;1530,226190
15222813;7291050065191;REIFEN 600 / 65 - 38;166 A2 / 159 A8, TL, FORESTRY 360;ALLIANCE;;
15222816;7291050055321;REIFEN 20.8 - 38;14 PR, 166 A2 / 159 A8, TL, FORESTRY 385;ALLIANCE;4;5399,785714
15222819;7291050060080;REIFEN 650 / 65 - 38;16 PR, 179 A2 / 171 A8, TL, FORESTAR 342;ALLIANCE;;
15223060;7291050046251;REIFEN 420 / 70 - 24;14 PR, 145 A2 / 138 A8, TL, F-370 AGRO-FOREST;ALLIANCE;1;2625,357143
15223090;7291050046305;REIFEN 420 / 70 - 28;14 PR, 147 A2 / 140 A8, TL, F-370  AGRO-FOREST;ALLIANCE;2;2859,726190
15223100;7291050046312;REIFEN 480 / 70 - 28;14 PR, 152 A2 / 145 A8, TL, F-370  AGRO-FOREST;ALLIANCE;2;4345,130952
15223170;7291050046336;REIFEN 520 / 70 - 34;161 A2 / 154 A8, TL, F-370 AGRO-FOREST;ALLIANCE;2;6015,702381
15223200;7291050046350;REIFEN 520 / 70 - 38;162 A2 / 155 A8, TL, F-370  AGRO-FOREST;ALLIANCE;32;5596,976190
15223305;8903635010678;REIFEN 380 / 85 - 24;14 PR, 137 A8 / 134 B, TL, AGRO-FORESTRY 333;ALLIANCE;;
15223330;8903635011958;REIFEN 420 / 85 - 28;14 PR, 144 A8 / 141 B, TL, AGRO-FORESTRY 333;ALLIANCE;1;2174,369048
15223333;8903635012115;REIFEN 420 / 85 - 30;14 PR, 145 A8 / 142 B, TL, AGRO-FORESTRY 333;ALLIANCE;;
15223334;8903635010685;REIFEN 460 / 85 - 30;14 PR, 150 A8, TL, AGRO FORESTRY 333;ALLIANCE;4;3871,023810
15223340;8903635010401;REIFEN 460 / 85 - 34;14 PR, 152 A8 / 149 B, TL, AGRO-FORESTRY 333;ALLIANCE;10;4241,226190
15223347;8903635012221;REIFEN 420 / 85 - 38;14 PR, 149 A8 / 146 B, TL, AGRO-FORESTRY 333;ALLIANCE;2;3147,571429
15223350;8903635010128;REIFEN 460 / 85 - 38;14 PR, 154 A8 / 151 B, TL, AGRO-FORESTRY 333;ALLIANCE;6;3552,000000
15223360;8903635011590;REIFEN 520 / 85 - 38;14 PR, 160 A8 / 157 B, TL, AGRO-FORESTRY 333;ALLIANCE;;
15223370;8903635014126;REIFEN 520 / 85 - 42;162 A8 / 159 B, TL, AGRO-FORESTRY 333;ALLIANCE;;
15224239;7291050045827;REIFEN 650 / 75 R 32;172 A8 /  172 B, TL, AS 360;ALLIANCE;;
15225001;8903635013723;REIFEN 320 / 65 R 16;107 A8 / 107 B, TL, AS 370;ALLIANCE;;
15225003;8903635009221;REIFEN 260 / 70 R 16;109 A8 / 106 B, TL, AS 370;ALLIANCE;13;468,285714
15225006;8903635010005;REIFEN 280 / 70 R 18;114 A8 / 111 B, TL, AS 370;ALLIANCE;8;580,000000
15225106;8903635017103;REIFEN 480 / 65 R 28;145 A8 / 142 D,TL, AGRISTAR 365;ALLIANCE;27;1910,464286
15225125;7291050064002;REIFEN IF 600 / 70 R 28 CFO;164 D, TL, AGRIFLEX 372;ALLIANCE;2;5364,261905
15225145;7291050021340;REIFEN 600 / 70 R 30;152 A8 /152 B,TL, AS 370;ALLIANCE;8;4524,571429
15225239;7291050062718;REIFEN 650 / 75 R 38;169 D, TL, AGRISTAR 378 XL;ALLIANCE;;
15225261;;REIFEN 710 / 70 R 42;182 A2 / 173 A8, TL, FORESTRY 365;ALLIANCE;1;11763,261905
15225262;7291050064415;REIFEN 710 / 70 R 42;176 A8 / 173 D, TL, AGRISTAR 365;ALLIANCE;2;8331,321429
15225267;7291050062404;REIFEN 710 / 75 R 42;178 A8 / 175 D, TL, AGRISTAR 378 XL;ALLIANCE;1;10896,345238
15225286;7291050056496;REIFEN 620 / 75 R 34;170 A8 / 170 B, TL, AGRISTAR 375;ALLIANCE;1;7104,797619
15225290;7291050056502;REIFEN 710 / 75 R 34;178 A8 / 178 B, TL, AGRISTAR 375;ALLIANCE;3;9508,464286
15226012;8903635013198;REIFEN 460 / 70 R 24;159 A8 / 159 B, TL, 570;ALLIANCE;13;1899,452381
15226050;7291050043694;REIFEN 9.5 R 28;109 A8 / 106 B , TL, AS 350;ALLIANCE;;
15226070;8903635015819;REIFEN 210 / 95 R 32;119 A8 / 116 D , TL, AS 350;ALLIANCE;16;743,119048
15226100;8903635015093;REIFEN 230 / 95 R 32;131 A8 / 128 D, TL, AS 350;ALLIANCE;9;873,690476
15226120;;;;;28;1035,107143
15226125;8903635011873;REIFEN 270 / 95 R 32;135 A8 / 132 D , TL, AS 350;ALLIANCE;1;896,678571
15226150;8903635015062;REIFEN 230 / 95 R 36;133 A8 / 130 D , TL, AS 350;ALLIANCE;;
15226160;7291050015776;REIFEN 11.2 / 10 R 36;136 A8 / 136 D , TL, AS 350;ALLIANCE;6;1282,511905
15226165;8903635011880;REIFEN 270 / 95 R 36;139 A8 / 136 D , TL, AS 350;ALLIANCE;;
15226185;8903635011897;REIFEN 270 / 95 R 38;140 A8 / 137 D, TL, AS 350;ALLIANCE;;
15226200;7291050015967;REIFEN 11.2 R 42;142 A8 / 139 D, TL, AS 350;ALLIANCE;12;1723,809524
15226245;7291050016025;REIFEN 8.3 R 44;129 A8 / 126 D , TL, AS 350;ALLIANCE;4;1444,083333
15226255;8903635011903;REIFEN 230 / 95 R 44;137 A8 / 134 D, TL, AS 350;ALLIANCE;;
15226280;8903635015109;REIFEN 270 / 95 R 46;144 A8 / 141 D, TL, AS 350;ALLIANCE;4;1395,250000
15226300;7291050016346;REIFEN 320 / 90 R 46;151 A8 / 148 D, TL, AS 350;ALLIANCE;28;1515,357143
15226306;8903635011910;REIFEN 300 / 95 R 46;151 A8 / 148 D, TL, AS 350;ALLIANCE;18;1743,523810
15226310;8903635020196;REIFEN 340 / 85 R 46;153 A8 / 150 D, TL, AS 350;ALLIANCE;;
15226322;7291050043724;REIFEN 380 / 90 R 46;175 A8 / 172 D , TL, AS 350;ALLIANCE;6;4000,011905
15226327;7291050068499;REIFEN VF 380 / 90 R 46;173 D, TL, AGRIFLEX 354+;ALLIANCE;;
15226335;8903635011729;REIFEN 9.5 R 48;139 A8 / 136 D , TL, AS 350;ALLIANCE;20;1284,892857
15226365;8903635011736;REIFEN 11.2 R 48;145 A8 / 142 D, TL, AS 350;ALLIANCE;6;1406,095238
15226395;8903635011927;REIFEN 13.6 R 48;154 A8 / 151 D, TL, AS 350;ALLIANCE;7;2187,488095
15226668;;;;;1;1562,416667
15226669;8903635014409;REIFEN 270 / 95 R 44;145 A8 / 142 D , TL, AS 350;ALLIANCE;13;1428,440476
15226680;7291050016711;REIFEN 300 / 95 R 52;151 A8 / 148 D , TL, AS 350;ALLIANCE;;
15226682;7291050071635;REIFEN VF 480 / 95 R 50;176 D, TL, AGRIFLEX 354+;ALLIANCE;;
15226685;7291050060141;REIFEN 300 / 95 R 52;159 A8 / 156 D , TL, AS 350;ALLIANCE;10;3511,285714
15226701;7291050050272;REIFEN 270 / 95 R 54;159 A8 / 156 D, TL, AS 350;ALLIANCE;;
15226731;7291050053167;REIFEN 440 / 65 R 24;131 A8 / 128 D, TL, AGRISTAR 365;ALLIANCE;30;1279,119048
15226732;8903635014515;REIFEN 480 / 65 R 24;140 D, TL, AGRISTAR 365;ALLIANCE;;
15226733;8903635014416;REIFEN 540 / 65 R 24;146 D, TL, AGRISTAR 365;ALLIANCE;12;1879,059524
15226744;8903635010722;REIFEN 620 / 75 R 26;167 A8 / 164 B, TL, AS 360;ALLIANCE;21;4119,785714
15226748;;;;;1;2674,166667
15226749;7291050057776;REIFEN 600 / 60 R 28;167 A2 / 159 A8, TL, FORESTAR 342;ALLIANCE;2;5377,523810
15226753;8903635017110;REIFEN 600 / 65 R 28;157 A8 / 154 D, TL, AGRISTAR 365;ALLIANCE;18;3262,726190
15226757;;;;;14;1857,964286
15226767;8903635010333;REIFEN 800 / 65 R 32;181 A8 / 178 B , TL, AS 360;ALLIANCE;28;6635,702381
15226768;;;;;2;9776,785714
15226771;8903635015352;REIFEN 540 / 65 R 30;153 A8 / 150 D, TL, AGRISTAR 365;ALLIANCE;27;2454,523810
15226774;7291050046411;REIFEN 1000 / 50 R 25;172 A8 / 166 D, TL, AGRISTAR 375;ALLIANCE;2;13696,250000
15226783;;;;;1;10165,071429
15226786;8903635016212;REIFEN 540 / 65 R 34;155 A8 / 152 D, TL, AGRISTAR 365;ALLIANCE;3;2676,976190
15226788;8903635017417;REIFEN 600 / 65 R 38;162 A8 / 159 D, TL, AGRISTAR 365;ALLIANCE;;
15226793;7291050053143;REIFEN 600 / 65 R 38;155 A8 / 153 D, TL, AGRISTAR 365;ALLIANCE;;
15226794;;;;;6;4600,916667
15226796;7291050057806;REIFEN 650 / 65 R 38;178 A2 / 171 A8, TL, FORESTAR 342;ALLIANCE;3;8357,261905
15226799;8903635011965;REIFEN 540 / 65 R 38;153 D, TL, AGRISTAR 365;ALLIANCE;15;2813,428571
15226809;7291050065573;REIFEN 710 / 70 R 38;175 A2 / 168 A8, TL, FORESTRY 360;ALLIANCE;10;12082,821429
15226811;8903635017127;REIFEN 600 / 65 R 34;160 A8 / 157 D, TL, AGRISTAR 365;ALLIANCE;6;3557,904762
15226812;8903635017158;REIFEN 650 / 65 R 38;174 A8 / 171 D, TL, AGRISTAR 365;ALLIANCE;41;4530,952381
15226818;7291050065146;REIFEN 650 / 65 R 42;172 A2 / 165 A8, TL, FORESTRY 360;ALLIANCE;2;11060,261905
15226827;8903635016205;REIFEN 650 / 65 R 42;173 A8 / 170 D, TL, AGRISTAR 365;ALLIANCE;6;5406,107143
15226828;7291050045865;REIFEN 620 / 70 R 42;166 A8 / 163 B, TL, AS 360;ALLIANCE;8;5776,416667
15226829;7291050053068;REIFEN 650 / 65 R 42;161 A8 / 158 D, TL, AGRISTAR 365;ALLIANCE;25;3866,071429
15227070;7291050017602;REIFEN 14.9 R 26;127 A8 / 124 B, TL, AS 356 POWER DRIVE;ALLIANCE;1;2357,571429
15227090;7291050017534;REIFEN 18.4 R 26;140 A8 / 137 B, TL, AS 356 POWER DRIVE;ALLIANCE;2;3078,916667
15227191;7291050018364;REIFEN 18.4 R 30;155 A8 / 152 B, TL, AS 356;ALLIANCE;6;2883,202381
15227412;7291050057721;REIFEN 420 / 80 R 46;162 A8 / 159 D, TL, 385;ALLIANCE;;
15227430;7291050046442;REIFEN 520 / 85 R 46;173 A8 / 169 D, TL, AGRISTAR 375;ALLIANCE;4;6429,250000
15227520;8903635007937;REIFEN 280 / 85 R 20;112 A8 / 112 B, TL, FARMPRO;ALLIANCE;;
15227525;8903635008279;REIFEN 320 / 85 R 20;119 A8 / 119 B, TL, FARMPRO;ALLIANCE;;
15227540;;;;;4;606,380952
15227596;;;;;8;1425,452381
15227621;8903635010517;REIFEN 380 / 85 R 28;133 A8 / 133 B, TL, FARMPRO;ALLIANCE;;
15227680;8903635013167;REIFEN 380 / 85 R 34;137 A8 / 137 B, TL, FARMPRO;ALLIANCE;1;1298,547619
15227702;8903635013600;REIFEN 460 / 85 R 34;157 A8 / 157 B, TL, FARMPRO;ALLIANCE;;
15227717;8903635013532;REIFEN 320 / 85 R 38;143 A8 / 143 B, TL, FARMPRO;ALLIANCE;1;1217,321429
15227785;8903635011828;REIFEN 520 / 85 R 38;169 A8 / 169 B, TL, FARMPRO;ALLIANCE;7;3292,166667
15227787;8903635013983;REIFEN 480 / 80 R 42;169 A8 / 169 B, TL, FARMPRO;ALLIANCE;;
15227793;8903635010616;REIFEN 520 / 85 R 42;157 A8 / 157 B, TL, FARMPRO;ALLIANCE;2;2967,285714
15227794;8903635011019;REIFEN 320 / 90 R 46;148 A8 / 148 B, TL, FARMPRO;ALLIANCE;;
15227795;8903635013990;REIFEN 520 / 85 R 42;169 A8 / 169 B, TL, FARMPRO;ALLIANCE;;
15227798;8903635013679;REIFEN 520 / 85 R 46;158 A8 / 158 B, TL, FARMPRO;ALLIANCE;1;3501,583333
15227799;8903635007814;REIFEN 380 / 90 R 46;165 A8 / 165 B, TL, FARMPRO;ALLIANCE;;
15227834;8903635006626;REIFEN 360 / 70 R 28;125 A8 / 125 B, TL, FARMPRO;ALLIANCE;6;1009,607143
15227865;8903635013464;REIFEN 480 / 70 R 30;156 A8 / 156 B, TL, FARMPRO;ALLIANCE;;
15227870;8903635007913;REIFEN 520 / 70 R 30;145 A8 / 145 B, TL, FARMPRO;ALLIANCE;;
15228525;8903635028642;REIFEN 320 / 85 R 20;119 D, TL, AGRISTAR II;ALLIANCE;1;803,280488
15228551;8903635028628;REIFEN 280 / 85 R 24;115 D, TL, AGRISTAR II;ALLIANCE;;
15228561;8903635028659;REIFEN 320 / 85 R 24;122 D, TL, AGRISTAR II;ALLIANCE;1;917,231707
15228562;8903635028833;REIFEN 320 / 85 R 24;142 D, TL, AGRI STAR II;ALLIANCE;14;1178,463415
15228571;8903635028703;REIFEN 340 / 85 R 24;125 D, TL, AGRISTAR II;ALLIANCE;;
15228581;8903635028222;REIFEN 380 / 85 R 24;131 D, TL, AGRISTAR II;ALLIANCE;;
15228594;8903635028567;REIFEN 420 / 85 R 24;137 D, TL, AGRISTAR II;ALLIANCE;7;1491,060976
15228597;8903635028635;REIFEN 280 / 85 R 28;118 D, TL, AGRISTAR II;ALLIANCE;;
15228611;8903635028710;REIFEN 340 / 85 R 28;127 D, TL, AGRISTAR II;ALLIANCE;47;1060,804878
15228621;8903635028550;REIFEN 380 / 85 R 28;133 D, TL, AGRISTAR II;ALLIANCE;;
15228631;8903635028505;REIFEN 420 / 85 R 28;139 D, TL, AGRISTAR II;ALLIANCE;25;1505,987805
15228640;;;;;8;1427,571429
15228651;8903635028574;REIFEN 420 / 85 R 30;140 D, TL, AGRISTAR II;ALLIANCE;;
15228661;8903635028543;REIFEN 460 / 85 R 30;145 D, TL, AGRISTAR II;ALLIANCE;6;2128,451220
15228670;8903635028673;REIFEN 320 / 85 R 32;126 D, TL, AGRISTAR II;ALLIANCE;1;1125,719512
15228680;8903635028581;REIFEN 380 / 85 R 34;137 D, TL, AGRISTAR II;ALLIANCE;;
15228691;8903635028826;REIFEN 420 / 85 R 34;142 D, TL, AGRISTAR II;ALLIANCE;46;1782,573171
15228692;;;;;2;1887,309524
15228701;8903635028529;REIFEN 460 / 85 R 34;147 D, TL, AGRISTAR II;ALLIANCE;6;2190,365854
15228702;8903635028864;REIFEN 460 / 85 R 34;157 D, TL, AGRI STAR II;ALLIANCE;;
15228710;8903635028680;REIFEN 320 / 85 R 36;128 D, TL, Agristar II;ALLIANCE;;
15228715;8903635028727;REIFEN 340 / 85 R 36;132 D, TL, AGRI STAR II;ALLIANCE;3;1526,926829
15228717;8903635028697;REIFEN 320 / 85 R 38;143 D, TL, AGRI STAR II;ALLIANCE;;
15228720;8903635028734;REIFEN 340 / 85 R 38;133 D, TL, AGRI STAR II;ALLIANCE;2;1510,634146
15228731;8903635028741;REIFEN 420 / 85 R 38;144 D, TL, AGRI STAR II;ALLIANCE;27;2096,073171
15228741;8903635028536;REIFEN 460 / 85 R 38;149 D, TL, AGRI STAR II;ALLIANCE;;
15228745;8903635028611;REIFEN 460 / 85 R 38;167 D, TL, AGRI STAR II;ALLIANCE;;
15228781;;;;;4;2873,726190
15228785;8903635028772;REIFEN 520 / 85 R 38;169 D, TL, AGRI STAR II;ALLIANCE;15;3321,341463
15228787;8903635028871;REIFEN 480 / 80 R 42;169 D, TL, AGRI STAR II;ALLIANCE;;
15228791;8903635028758;REIFEN 480 / 80 R 42;151 D, TL, AGRI STAR II;ALLIANCE;;
15228793;8903635028789;REIFEN 520 / 85 R 42;157 D, TL, AGRI STAR II;ALLIANCE;10;3659,048780
15228795;8903635028796;REIFEN 520 / 85 R 42;169 D, TL, AGRI STAR II;ALLIANCE;1;3611,804878
15228796;8903635028499;REIFEN 480 / 80 R 46;158 D, TL, AGRI STAR II;ALLIANCE;5;3654,170732
15228798;8903635028802;REIFEN 520 / 85 R 46;158 D, TL, AGRI STAR II;ALLIANCE;8;4317,695122
15228805;8903635028819;REIFEN 650 / 85 R 38;173 D, TL, AGRI STAR II;ALLIANCE;39;5999,048780
15228806;;;;;43;614,738095
15228808;8903635028376;REIFEN 280 / 70 R 18;114 D, TL, AGRI STAR II;ALLIANCE;11;548,170732
15228812;8903635028390;REIFEN 280 / 70 R 20;116 D, TL,AGRI STAR II;ALLIANCE;;
15228814;8903635028291;REIFEN 300 / 70 R 20;120 D, TL, AGRI STAR II;ALLIANCE;12;604,170732
15228815;8903635028406;REIFEN 380 / 70 R 20;122 D, TL, AGRI STAR II;ALLIANCE;;
15228816;8903635028192;REIFEN 320 / 70 R 20;123 D , TL, AGRI STAR II;ALLIANCE;12;812,207317
15228820;8903635028253;REIFEN 320 / 70 R 24;116 D, TL, AGRI STAR II;ALLIANCE;;
15228825;8903635028277;REIFEN 360 / 70 R 24;122 D, TL, AGRI STAR II;ALLIANCE;1;1062,487805
15228826;8903635028208;REIFEN 380 / 70 R 24;125 D, TL, AGRI STAR II;ALLIANCE;19;1227,475610
15228828;8903635028123;REIFEN 420 / 70 R 24;130 D, TL, AGRI STAR II;ALLIANCE;1;1225,609756
15228830;8903635028321;REIFEN 480 / 70 R 24;138 D, TL, AGRI STAR II;ALLIANCE;6;1749,402439
15228838;8903635028260;REIFEN 380 / 70 R 28;127 D, TL,AGRI STAR II;ALLIANCE;13;1351,939024
15228842;8903635028185;REIFEN 420 / 70 R 28;133 D, TL, AGRI STAR II;ALLIANCE;;
15228846;8903635028246;REIFEN 480 / 70 R 28;140 D, TL, AGRI STAR II;ALLIANCE;;
15228847;8903635028420;REIFEN 480 / 70 R 28;151 D, TL, AGRI STAR II;ALLIANCE;39;2163,463415
15228850;8903635028413;REIFEN 600 / 70 R 28;161 D, TL, AGRI STAR II;ALLIANCE;4;3682,268293
15228864;8903635028215;REIFEN 480 / 70 R 30;141 D, TL, AGRI STAR II;ALLIANCE;13;1731,707317
