Nr.;EAN;Beschreibung;Beschreibung 2;Hersteller Kurzbeschreibung;Lagerbestand;cena
15122267;8906117622475;REIFEN 16.9 - 24;8 PR, 133 A8, TT, FARMAX;CEAT;5;849,069767
15122301;8906117622666;REIFEN 18.4 - 26;12 PR, 146 A8,  TT, FARMAX;CEAT;8;1277,674419
15122365;;;;;4;2541,666667
15122415;8906117622482;REIFEN 11.2 - 28;8 PR, 118 A8, TT, FARMAX;CEAT;24;489,290698
15122435;8906117622505;REIFEN 12.4 - 28;8 PR, 123 A8, TT, FARMAX;CEAT;;
15122458;8906117622512;REIFEN 13.6 - 28;8 PR, 125 A8, TT, FARMAX;CEAT;6;690,232558
15122481;8906117622529;REIFEN 14.9 - 28;8 PR, 130 A8, TT, FARMAX;CEAT;;
15122531;8906117622536;REIFEN 16.9 - 28;12 PR, 143 A8, TT, FARMAX;CEAT;;
15122733;8906117622567;REIFEN 18.4 - 34;8 PR, 142 A8, TT, FARMAX;CEAT;2;1471,139535
15122784;8906117622581;REIFEN 15.5 - 38;8 PR, 133 A8, TT, FARMAX;CEAT;2;951,732558
15122802;;;;;6;1333,333333
15122803;8906117622611;REIFEN 16.9 - 38;10 PR, 143 A8, TT, FARMAX;CEAT;2;1367,755814
15122804;8906117622628;REIFEN 18.4 - 38;8 PR, 143 A8, TT, FARMAX;CEAT;8;1451,372093
15125000;;;;;8;676,607143
15125010;;;;;4;725,785714
15125013;;;;;8;939,916667
15125020;8906117621324;REIFEN 340 / 65 R 20;124 D, TL, FARMAX R65;CEAT;2;900,558140
15125106;8906117621447;REIFEN 480 / 65 R 28;142 D / 145 A8, TL, FARMAX R65;CEAT;6;1807,046512
15126070;8906117622048;REIFEN 210 / 95 R 32;117 D / 120 A8, TL, FARMAX RC;CEAT;10;664,895349
15126100;8906117622055;REIFEN 230 / 95 R 32;128 D / 131 A8, TL, FARMAX RC;CEAT;10;792,000000
15126125;8906117622062;REIFEN 270 / 95 R 32;133 D / 136 A8, TL, FARMAX RC;CEAT;12;874,418605
15126150;8906117622086;REIFEN 230 / 95 R 36;130 D / 133 A8, TL, FARMAX RC;CEAT;;
15126165;8906117622093;REIFEN 270 / 95 R 36;136 D / 139 A8, TL, FARMAX RC;CEAT;;
15126191;8906117623205;REIFEN 230 / 95 R 42;133 D / 136 A8, TL, FARMAX RC;CEAT;;
15126255;8906117622185;REIFEN 230 / 95 R 44;134 D / 137 A8, TL, FARMAX RC;CEAT;6;1208,825581
15126306;8906117622239;REIFEN 300 / 95 R 46;148 D / 151 A8, TL, FARMAX RC;CEAT;6;1679,069767
15126335;8906117622284;REIFEN 230 / 95 R 48;136 D / 139 A8, TL, FARMAX RC;CEAT;4;1222,325581
15126365;8906117622291;REIFEN 270 / 95 R 48;142 D / 145 A8, TL, FARMAX RC;CEAT;4;1293,279070
15126395;8906117622307;REIFEN 340 / 85 R 48;148 D / 151 A8, TL, FARMAX RC;CEAT;4;2006,662791
15126669;8906117622208;REIFEN 270 / 95 R 44;142 D / 145 A8, TL, FARMAX RC;CEAT;8;1472,186047
15126682;8906117623243;REIFEN 300 / 95 R 52;149 D / 152 A8, TL, FARMAX RC;CEAT;2;2382,732558
15126733;8906117621416;REIFEN 540 / 65 R 24;146 D, TL, FARMAX R65;CEAT;10;1849,372093
15126748;8906117621461;REIFEN 540 / 65 R 28;149 D, TL, FARMAX R65;CEAT;8;2372,860465
15126753;8906117621485;REIFEN 600 / 65 R 28;154 D, TL, FARMAX R65;CEAT;16;2931,813953
15126757;8906117621423;REIFEN 440 / 65 R 28;138 D, TL, FARMAX R65;CEAT;6;1610,174419
15126771;8906117621508;REIFEN 540 / 65 R 30;150 D, TL,  FARMAX R65;CEAT;28;2163,709302
15126778;;;;;2;3707,345238
15126786;8906117621546;REIFEN 540 / 65 R 34;152 D, TL, FARMAX R65;CEAT;4;2677,651163
15126793;8906117621591;REIFEN 600 / 65 R 38;153 D, TL, FARMAX R65;CEAT;;
15126799;8906117621584;REIFEN 540 / 65 R 38;153 D, TL, FARMAX R65;CEAT;8;2794,430233
15126811;8906117621560;REIFEN 600 / 65 R 34;157 D, TL, FARMAX R65;CEAT;14;3420,313953
15126812;8906117621607;REIFEN 650 / 65 R 38;157 D, TL, FARMAX R65;CEAT;4;3924,581395
15126827;8906117621645;REIFEN 650 / 65 R 42;170 D, TL, FARMAX R65;CEAT;15;4974,895349
15126828;;;;;6;4543,583333
15126830;;;;;2;4686,857143
15127412;8906117623090;REIFEN 420 / 80 R 46;159 D / 162 A8, TL, FARMAX R80;CEAT;6;3911,302326
15127520;;;;;8;587,619048
15127525;8906117620853;REIFEN 250 / 85 R 20;116 A8 / B, TL, FARMAX R85;CEAT;4;509,244186
15127721;;;;;2;2265,726190
15127834;8906117621812;REIFEN 360 / 70 R 28;125 A8 / B, TL, FARMAX R70;CEAT;2;1026,383721
15127865;8906117621881;REIFEN 480 / 70 R 30;147 D / 150 A8, TL, FARMAX R70;CEAT;2;1921,500000
15128551;8906117620891;REIFEN 280 / 85 R 24;115 A8 / B, TL, FARMAX R85;CEAT;8;655,360465
15128561;;;;;8;793,523810
15128572;8906117624141;REIFEN 340 / 85 R 24;125 D, TL, FARMAX R 85;CEAT;18;997,220930
15128581;8906117620938;REIFEN 380 / 85 R 24;131 A8 / B, TL, FARMAX R85;CEAT;;
15128582;8906117624158;REIFEN 380 / 85 R 24;131 D, TL, FARMAX R 85;CEAT;48;1114,174419
15128594;8906117620945;REIFEN 420 / 85 R 24;137 A8 / B, TL, FARMAX R85;CEAT;6;1389,011628
15128601;;;;;2;926,285714
15128602;8906117624271;REIFEN 380 / 85 R 28;133 D, TL, FARMAX R85;CEAT;8;1302,441860
15128670;;;;;10;1075,642857
15128691;8906117621102;REIFEN 420 / 85 R 34;142 A8 / B, TL, FARMAX R85;CEAT;;
15128693;;;;;8;1944,809524
15128701;8906117621126;REIFEN 460 / 85 R 34;147 A8 / B, TL, FARMAX R85;CEAT;;
15128731;8906117621218;REIFEN 420 / 85 R 38;144 A8 / B, TL, FARMAX R85;CEAT;2;1955,604651
15128741;8906117621225;REIFEN 460 / 85 R 38;149 A8 / B, TL, FARMAX R85;CEAT;;
15128785;;;;;4;3509,738095
15128792;;;;;2;3473,845238
15128799;;;;;4;4946,190476
15128800;8906117624325;REIFEN 280/70 R 16;112A8/B TL FARMAX R70 ;CEAT;6;522,686047
